ID,LAST_UPDATED_TIMESTAMP,POSTED,TITLE_RAW,TITLE_CLEAN,TITLE_NAME,ONET,ONET_NAME,SOC_2021_5,SOC_2021_5_NAME,SOC_5,SOC_5_NAME,COMPANY_NAME,CITY_NAME,STATE_NAME,NAICS_2022_6,NAICS_2022_6_NAME,ROLE_SEGMENT,ROLE_MATCH_REASON,SCOPE_TIER,SOC_DATA_SCIENTIST_MAPPING,MAPPING_ONLY_CORE_RISK
04620c2876a31bc2d281142fc0b4d1abbb97163d,2024-10-19 13:48:18.976 Z,8/19/2024,Oracle Health Senior Consultant,health senior consultant,Health Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Trenton, NJ",New Jersey,513210,Software Publishers,,,,Yes,Yes
04cb7fbb5ed27308ed8e9dd711539746c87d4e46,2024-10-18 23:44:27.286 Z,9/16/2024,"Senior Manager, Oracle Health Analytics Consulting, Analytics Center of Excellence, Consulting Serv",senior manager health analytics consulting analytics center of excellence consulting serv,Analytics Managers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Baton Rouge, LA",Louisiana,513210,Software Publishers,,,,Yes,Yes
054d636de42b6c76883df73a9333aed2baffa6e2,2024-09-23 20:23:06.836 Z,8/19/2024,Data Analyst,data analyst,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Iris Software,"Irving, TX",Texas,513210,Software Publishers,,,,Yes,Yes
05b12491f9f76c834e7d7d0e3b367856b9db0c11,2024-10-22 13:49:03.059 Z,8/22/2024,Oracle Technical Pre-Sales Consultant - Oracle Cloud HCM & ERP - Senior Sales Consultant - Remote,technical pre sales consultant cloud hcm erp senior sales consultant remote,Oracle Cloud HCM Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Columbus, OH",Ohio,513210,Software Publishers,,,,Yes,Yes
05b5beb87a37c7e052e2d084c61c8fdf022fc77c,2024-09-06 20:32:57.352 Z,7/28/2024,Oracle SaaS SCM Techno-Functional Analyst (WMS),saas scm techno functional analyst wms,Techno Functional Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Austin, TX",Texas,513210,Software Publishers,,,,Yes,Yes
05e0aee0e1f5f69342503ca536e0f67b6beebafe,2024-10-11 04:54:26.295 Z,8/10/2024,Senior Distinguished Architect,senior distinguished architect,Distinguished Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Autodesk,"Olympia, WA",Washington,513210,Software Publishers,,,,Yes,Yes
05f19657af6379b4928807c36fb2c0f8f007fd88,2024-10-09 18:07:44.758 Z,7/25/2024,SAP OTC Lead Consultant (Need Recent ECC 6~S/4 HANA Upgrade / Migration)_Expense Paid,sap otc lead consultant need recent ecc s hana upgrade migration expense paid,SAP OTC Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Scadea Solutions,"Pittsburgh, PA",Pennsylvania,513210,Software Publishers,,,,Yes,Yes
06051debf84533c81556ca3a87257ecfedb9c65e,2024-08-12 17:39:36.103 Z,6/11/2024,Data Engineer (Analytics),data engineer analytics,Data Analytics Engineers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Bamboohr,"Draper, UT",Utah,513210,Software Publishers,,,,Yes,Yes
0631920541edab00c89b55409660a91c0e6d34ac,2024-09-06 20:32:57.352 Z,5/12/2024,"Senior Manager, Analyst Relations, Oracle Fusion Cloud ERP (REMOTE)",senior manager analyst relations fusion cloud erp remote,Analyst Relations Managers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Olympia, WA",Washington,513210,Software Publishers,,,,Yes,Yes
06433fad21bd5fd6ec6b797f2578e8120ecefc21,2024-10-09 16:54:50.883 Z,8/5/2024,Associate Manager of Programmatic Operations,associate manager of programmatic operations,Programmatic Managers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,First Databank (Fdb),"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
